#
#
# US Geological Survey, Water Resources Data
# retrieved: 2020-03-30 23:57:59 EDT      (vaww02)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/co/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 09112500 EAST RIVER AT ALMONT, CO
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		18852	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
USGS	09112500	00060	18852	1920	10	105.7
USGS	09112500	00060	18852	1920	11	90
USGS	09112500	00060	18852	1920	12	83.4
USGS	09112500	00060	18852	1921	1	74.7
USGS	09112500	00060	18852	1921	2	64.1
USGS	09112500	00060	18852	1921	3	89
USGS	09112500	00060	18852	1921	4	140.2
USGS	09112500	00060	18852	1921	5	1040
USGS	09112500	00060	18852	1921	6	2100
USGS	09112500	00060	18852	1921	7	685
USGS	09112500	00060	18852	1921	8	320
USGS	09112500	00060	18852	1921	9	180
USGS	09112500	00060	18852	1921	10	103
USGS	09112500	00060	18852	1921	11	83.7
USGS	09112500	00060	18852	1921	12	62.1
USGS	09112500	00060	18852	1922	1	64
USGS	09112500	00060	18852	1922	2	66.4
USGS	09112500	00060	18852	1922	3	68.4
USGS	09112500	00060	18852	1922	4	172
USGS	09112500	00060	18852	1922	5	1300
USGS	09112500	00060	18852	1922	6	1200
USGS	09112500	00060	18852	1922	7	310
USGS	09112500	00060	18852	1922	8	170
USGS	09112500	00060	18852	1934	10	59.3
USGS	09112500	00060	18852	1934	11	76
USGS	09112500	00060	18852	1934	12	70
USGS	09112500	00060	18852	1935	1	45
USGS	09112500	00060	18852	1935	2	30
USGS	09112500	00060	18852	1935	3	56.3
USGS	09112500	00060	18852	1935	4	158.6
USGS	09112500	00060	18852	1935	5	785.2
USGS	09112500	00060	18852	1935	6	1765
USGS	09112500	00060	18852	1935	7	624.2
USGS	09112500	00060	18852	1935	8	247.9
USGS	09112500	00060	18852	1935	9	169.7
USGS	09112500	00060	18852	1935	10	114.7
USGS	09112500	00060	18852	1935	11	90.9
USGS	09112500	00060	18852	1935	12	70.3
USGS	09112500	00060	18852	1936	1	46.9
USGS	09112500	00060	18852	1936	2	52
USGS	09112500	00060	18852	1936	3	59.2
USGS	09112500	00060	18852	1936	4	669.9
USGS	09112500	00060	18852	1936	5	1978
USGS	09112500	00060	18852	1936	6	1129
USGS	09112500	00060	18852	1936	7	346.3
USGS	09112500	00060	18852	1936	8	232
USGS	09112500	00060	18852	1936	9	116.9
USGS	09112500	00060	18852	1936	10	92.4
USGS	09112500	00060	18852	1936	11	77.5
USGS	09112500	00060	18852	1936	12	57.6
USGS	09112500	00060	18852	1937	1	60.4
USGS	09112500	00060	18852	1937	2	63.4
USGS	09112500	00060	18852	1937	3	56.5
USGS	09112500	00060	18852	1937	4	233.9
USGS	09112500	00060	18852	1937	5	1425
USGS	09112500	00060	18852	1937	6	802.2
USGS	09112500	00060	18852	1937	7	300
USGS	09112500	00060	18852	1937	8	171.5
USGS	09112500	00060	18852	1937	9	91.9
USGS	09112500	00060	18852	1937	10	103.2
USGS	09112500	00060	18852	1937	11	116.1
USGS	09112500	00060	18852	1937	12	94.3
USGS	09112500	00060	18852	1938	1	81.1
USGS	09112500	00060	18852	1938	2	72.1
USGS	09112500	00060	18852	1938	3	62.1
USGS	09112500	00060	18852	1938	4	348.3
USGS	09112500	00060	18852	1938	5	1016
USGS	09112500	00060	18852	1938	6	1720
USGS	09112500	00060	18852	1938	7	562.4
USGS	09112500	00060	18852	1938	8	235.8
USGS	09112500	00060	18852	1938	9	157.9
USGS	09112500	00060	18852	1938	10	111.9
USGS	09112500	00060	18852	1938	11	95
USGS	09112500	00060	18852	1938	12	70.9
USGS	09112500	00060	18852	1939	1	55.8
USGS	09112500	00060	18852	1939	2	56.1
USGS	09112500	00060	18852	1939	3	85
USGS	09112500	00060	18852	1939	4	332.8
USGS	09112500	00060	18852	1939	5	1126
USGS	09112500	00060	18852	1939	6	666.1
USGS	09112500	00060	18852	1939	7	167.4
USGS	09112500	00060	18852	1939	8	128.4
USGS	09112500	00060	18852	1939	9	123.1
USGS	09112500	00060	18852	1939	10	95.1
USGS	09112500	00060	18852	1939	11	77.3
USGS	09112500	00060	18852	1939	12	48.6
USGS	09112500	00060	18852	1940	1	25.5
USGS	09112500	00060	18852	1940	2	28.7
USGS	09112500	00060	18852	1940	3	51.1
USGS	09112500	00060	18852	1940	4	234.3
USGS	09112500	00060	18852	1940	5	798.8
USGS	09112500	00060	18852	1940	6	554.4
USGS	09112500	00060	18852	1940	7	121.5
USGS	09112500	00060	18852	1940	8	109.4
USGS	09112500	00060	18852	1940	9	78
USGS	09112500	00060	18852	1940	10	96.7
USGS	09112500	00060	18852	1940	11	81.5
USGS	09112500	00060	18852	1940	12	64.1
USGS	09112500	00060	18852	1941	1	58.8
USGS	09112500	00060	18852	1941	2	53.4
USGS	09112500	00060	18852	1941	3	51.8
USGS	09112500	00060	18852	1941	4	143.6
USGS	09112500	00060	18852	1941	5	1405
USGS	09112500	00060	18852	1941	6	1258
USGS	09112500	00060	18852	1941	7	477.2
USGS	09112500	00060	18852	1941	8	203
USGS	09112500	00060	18852	1941	9	109.1
USGS	09112500	00060	18852	1941	10	189.3
USGS	09112500	00060	18852	1941	11	125.8
USGS	09112500	00060	18852	1941	12	78.9
USGS	09112500	00060	18852	1942	1	54.2
USGS	09112500	00060	18852	1942	2	62.6
USGS	09112500	00060	18852	1942	3	49.9
USGS	09112500	00060	18852	1942	4	340.5
USGS	09112500	00060	18852	1942	5	908.8
USGS	09112500	00060	18852	1942	6	1352
USGS	09112500	00060	18852	1942	7	421.5
USGS	09112500	00060	18852	1942	8	181.3
USGS	09112500	00060	18852	1942	9	77.5
USGS	09112500	00060	18852	1942	10	60
USGS	09112500	00060	18852	1942	11	70.6
USGS	09112500	00060	18852	1942	12	60
USGS	09112500	00060	18852	1943	1	63.5
USGS	09112500	00060	18852	1943	2	72.6
USGS	09112500	00060	18852	1943	3	74.2
USGS	09112500	00060	18852	1943	4	557.6
USGS	09112500	00060	18852	1943	5	1047
USGS	09112500	00060	18852	1943	6	1219
USGS	09112500	00060	18852	1943	7	445.1
USGS	09112500	00060	18852	1943	8	271.1
USGS	09112500	00060	18852	1943	9	143.3
USGS	09112500	00060	18852	1943	10	101.9
USGS	09112500	00060	18852	1943	11	99.5
USGS	09112500	00060	18852	1943	12	72.2
USGS	09112500	00060	18852	1944	1	58.2
USGS	09112500	00060	18852	1944	2	63.9
USGS	09112500	00060	18852	1944	3	54.1
USGS	09112500	00060	18852	1944	4	98.4
USGS	09112500	00060	18852	1944	5	981.2
USGS	09112500	00060	18852	1944	6	1399
USGS	09112500	00060	18852	1944	7	616.8
USGS	09112500	00060	18852	1944	8	195.4
USGS	09112500	00060	18852	1944	9	94.6
USGS	09112500	00060	18852	1944	10	92.6
USGS	09112500	00060	18852	1944	11	78.3
USGS	09112500	00060	18852	1944	12	57.9
USGS	09112500	00060	18852	1945	1	58.5
USGS	09112500	00060	18852	1945	2	55.3
USGS	09112500	00060	18852	1945	3	52.8
USGS	09112500	00060	18852	1945	4	110.3
USGS	09112500	00060	18852	1945	5	939.6
USGS	09112500	00060	18852	1945	6	1134
USGS	09112500	00060	18852	1945	7	612.3
USGS	09112500	00060	18852	1945	8	285.4
USGS	09112500	00060	18852	1945	9	100.8
USGS	09112500	00060	18852	1945	10	94.3
USGS	09112500	00060	18852	1945	11	99
USGS	09112500	00060	18852	1945	12	74.5
USGS	09112500	00060	18852	1946	1	56.2
USGS	09112500	00060	18852	1946	2	57.4
USGS	09112500	00060	18852	1946	3	60.6
USGS	09112500	00060	18852	1946	4	372.2
USGS	09112500	00060	18852	1946	5	679.1
USGS	09112500	00060	18852	1946	6	1167
USGS	09112500	00060	18852	1946	7	320.3
USGS	09112500	00060	18852	1946	8	159.7
USGS	09112500	00060	18852	1946	9	75.9
USGS	09112500	00060	18852	1946	10	113.7
USGS	09112500	00060	18852	1946	11	89
USGS	09112500	00060	18852	1946	12	71
USGS	09112500	00060	18852	1947	1	50.9
USGS	09112500	00060	18852	1947	2	55
USGS	09112500	00060	18852	1947	3	61.1
USGS	09112500	00060	18852	1947	4	182.6
USGS	09112500	00060	18852	1947	5	1301
USGS	09112500	00060	18852	1947	6	1322
USGS	09112500	00060	18852	1947	7	795.2
USGS	09112500	00060	18852	1947	8	274.1
USGS	09112500	00060	18852	1947	9	148.7
USGS	09112500	00060	18852	1947	10	126
USGS	09112500	00060	18852	1947	11	129.3
USGS	09112500	00060	18852	1947	12	100.4
USGS	09112500	00060	18852	1948	1	85
USGS	09112500	00060	18852	1948	2	68.7
USGS	09112500	00060	18852	1948	3	61.4
USGS	09112500	00060	18852	1948	4	242
USGS	09112500	00060	18852	1948	5	1618
USGS	09112500	00060	18852	1948	6	1439
USGS	09112500	00060	18852	1948	7	458.6
USGS	09112500	00060	18852	1948	8	205.7
USGS	09112500	00060	18852	1948	9	82.3
USGS	09112500	00060	18852	1948	10	105
USGS	09112500	00060	18852	1948	11	92.7
USGS	09112500	00060	18852	1948	12	64.1
USGS	09112500	00060	18852	1949	1	60.8
USGS	09112500	00060	18852	1949	2	58.6
USGS	09112500	00060	18852	1949	3	60.2
USGS	09112500	00060	18852	1949	4	283.6
